date|rate
Jun 2020|0.956579
Jul 2020|0.935497
Aug 2020|0.92848
Sep 2020|0.929161
Oct 2020|0.944376
Nov 2020|0.967752
Dec 2020|0.97038
Jan 2021|0.95137
Feb 2021|0.962764
Mar 2021|0.980031
Apr 2021|0.989397
May 2021|0.991787
Jun 2021|0.989624
Jul 2021|0.990884
Aug 2021|0.996981
Sep 2021|1.012917
Oct 2021|1.020447
Nov 2021|1.003473
Dec 2021|1.018829
Jan 2022|1.030688
Feb 2022|1.034128
Mar 2022|1.042922
Apr 2022|1.036602
May 2022|1.050527
Jun 2022|1.056403
Jul 2022|1.051937
Aug 2022|1.066275
Sep 2022|1.06472
Oct 2022|1.073238
Nov 2022|1.075651
Dec 2022|1.070413
Jan 2023|1.078063
Feb 2023|1.080486
Mar 2023|1.136838
Apr 2023|1.114088
May 2023|1.091923
